,alpha,d_1,s_1,d_2,s_2,pi_1,pi_2,type,nonneg
0,1,0.035297514343673904,0.05921689960464402,0.03529751434367481,0.05921689960464963,0.004752555716820324,0.0047525557168206865,multi,True
1,0.9999,0.03530299966032409,0.0592380958551034,0.035299843217463864,0.059204442946374475,0.004752057717480247,0.0047481983843945304,multi,True
2,0.9998,0.035308486423619126,0.059259297098059605,0.03530217260610375,0.059191983364318225,0.00475155972173445,0.004743836997067194,multi,True
3,0.9997,0.03531397463404525,0.059280503334963056,0.03530450250972985,0.05917952085763459,0.004751061729600054,0.004739471550406962,multi,True
4,0.9996,0.03531946429208304,0.05930171456724123,0.035306832928475036,0.05916705542548884,0.004750563741096465,0.004735102039980652,multi,True
5,0.9995,0.035324955398216645,0.059322930796332336,0.03530916386247385,0.05915458706704224,0.004750065756242097,0.004730728461347272,multi,True
6,0.9994000000000001,0.03533044795293112,0.05934415202367315,0.035311495311862826,0.059142115781461245,0.0047495677750554015,0.004726350810060374,multi,True
7,0.9993000000000001,0.03533594195670897,0.05936537825070099,0.03531382727677516,0.05912964156790439,0.004749069797555064,0.004721969081667317,multi,True
8,0.9992000000000001,0.03534143741003525,0.05938660947885764,0.035316159757345,0.05911716442552963,0.0047485718237594305,0.004717583271708828,multi,True
9,0.9991000000000001,0.035346934313395556,0.059407845709582366,0.03531849275370912,0.05910468435350198,0.004748073853686888,0.0047131933757203846,multi,True
10,0.9990000000000001,0.03535243266727355,0.059429086944313134,0.035320826266000846,0.05909220135098,0.0047475758873562635,0.004708799389231601,multi,True
11,0.9989000000000001,0.035357932472152506,0.059450333184482985,0.03532316029435588,0.059079715417130425,0.004747077924786616,0.004704401307767264,multi,True
12,0.9988000000000001,0.03536343372851993,0.0594715844315462,0.03532549483890713,0.059067226551100284,0.004746579965995687,0.0046999991268421555,multi,True
13,0.9987000000000001,0.035368936436858636,0.05949284068692776,0.035327829899791774,0.0590547347520651,0.004746082011003199,0.004695592841970878,multi,True
14,0.9986000000000002,0.03537444059765648,0.05951410195207856,0.03533016547714428,0.05904224001917743,0.004745584059827161,0.004691182448657096,multi,True
15,0.9985000000000002,0.03537994621139609,0.05953536822843441,0.03533250157109882,0.05902974235159718,0.004745086112486579,0.004686767942401032,multi,True
16,0.9984000000000002,0.03538545327856518,0.05955663951744416,0.0353348381817913,0.05901724174848205,0.004744588168999704,0.004682349318695094,multi,True
17,0.9983000000000002,0.035390961799649755,0.059577915820547736,0.0353371753093557,0.059004738208990465,0.004744090229385567,0.004677926573027045,multi,True
18,0.9982000000000002,0.03539647177513384,0.059599197139180764,0.03533951295392882,0.05899223173228962,0.004743592293663359,0.004673499700879747,multi,True
19,0.9981000000000002,0.035401983205505916,0.05962048347479551,0.0353418511156443,0.058979722317528696,0.004743094361851271,0.004669068697726652,multi,True
20,0.9980000000000002,0.03540749609125137,0.05964177482883302,0.03534418979463744,0.058967209963868866,0.004742596433968402,0.0046646335590376795,multi,True
21,0.9979000000000002,0.035413010432857675,0.05966307120274289,0.03534652899104368,0.058954694670462965,0.0047420985100328945,0.004660194280274608,multi,True
22,0.9978000000000002,0.03541852623080987,0.05968437259795554,0.03534886870499875,0.05894217643648214,0.004741600590065023,0.004655750856897706,multi,True
23,0.9977000000000003,0.0354240434855957,0.05970567901593079,0.03535120893663645,0.0589296552610683,0.004741102674082306,0.004651303284354654,multi,True
24,0.9976000000000003,0.035429562197703456,0.05972699045810618,0.035353549686094506,0.05891713114339031,0.004740604762104199,0.004646851558092123,multi,True
25,0.9975000000000003,0.035435082367619296,0.05974830692593133,0.035355890953506316,0.058904604082598566,0.004740106854149497,0.004642395673548083,multi,True
26,0.9974000000000003,0.03544060399583046,0.05976962842084866,0.03535823273900802,0.05889207407785394,0.0047396089502373595,0.004637935626155927,multi,True
27,0.9973000000000003,0.03544612708282682,0.059790954944314786,0.03536057504273477,0.0588795411283061,0.00473911105038604,0.004633471411340317,multi,True
28,0.9972000000000003,0.03545165162909224,0.05981228649776024,0.03536291786482271,0.05886700523312307,0.004738613154615675,0.004629003024524678,multi,True
29,0.9971000000000003,0.03545717763511896,0.05983362308265341,0.03536526120540568,0.05885446639144445,0.004738115262943876,0.004624530461119325,multi,True
30,0.9970000000000003,0.03546270510139366,0.05985496470043013,0.03536760506462123,0.05884192460243838,0.004737617375390458,0.004620053716534721,multi,True
31,0.9969000000000003,0.0354682340284051,0.059876311352544745,0.035369949442603695,0.05882937986525353,0.004737119491974074,0.004615572786171479,multi,True
32,0.9968000000000004,0.035473764416639596,0.05989766304043797,0.035372294339489276,0.05881683217905096,0.004736621612714277,0.004611087665426727,multi,True
33,0.9967000000000004,0.035479296266588405,0.05991901976556912,0.03537463975541227,0.058804281542978606,0.004736123737629759,0.004606598349688376,multi,True
34,0.9966000000000004,0.03548482957874122,0.05994038152938719,0.03537698569051019,0.058791727956194,0.004735625866739356,0.00460210483433965,multi,True
35,0.9965000000000004,0.035490364353584325,0.059961748333336076,0.03537933214491851,0.058779171417855186,0.0047351280000626945,0.00459760711475881,multi,True
36,0.9964000000000004,0.03549590059160869,0.05998312017887259,0.035381679118771346,0.05876661192710977,0.004734630137618689,0.004593105186315542,multi,True
37,0.9963000000000004,0.035501438293303635,0.060004497067445386,0.03538402661220667,0.05875404948311707,0.004734132279426405,0.004588599044374892,multi,True
38,0.9962000000000004,0.03550697745915963,0.0600258790005105,0.035386374625359304,0.058741484085026704,0.004733634425504898,0.004584088684294455,multi,True
