,alpha,d_1,s_1,d_2,s_2,pi_1,pi_2,type,nonneg
4464,0.5536000000000492,0.1358025752849784,0.2085014872518152,3.0366924003440778e-05,6.963374789659859e-05,0.044314556745421105,-1.5243549062773074e-06,single,True
4465,0.5535000000000492,0.13583154096152117,0.20852917469925475,3.047629782431231e-05,6.988569320571234e-05,0.04432802756161125,-1.5327049201213407e-06,single,True
4466,0.5534000000000492,0.135860513412087,0.20855686723347713,3.0585378292491034e-05,7.013697440938641e-05,0.04434150290649477,-1.541061265902124e-06,single,True
4467,0.5533000000000492,0.13588949263656244,0.20858456485710627,3.069415415033661e-05,7.038756566084854e-05,0.044354982786054015,-1.5494232970582819e-06,single,True
4468,0.5532000000000492,0.1359184786441107,0.20861226758265256,3.080260780987417e-05,7.063742659529253e-05,0.0443684672089152,-1.5577900423674715e-06,single,True
4469,0.5531000000000492,0.1359474714762093,0.2086399754704891,3.091072377276943e-05,7.088652163813301e-05,0.044381956183296475,-1.566160634621571e-06,single,True
4470,0.5530000000000492,0.1359764711289679,0.20866768851484027,3.101848846567115e-05,7.113481962592286e-05,0.044395449716054754,-1.5745342927442254e-06,single,True
4471,0.5529000000000492,0.1360054776129645,0.20869540673444925,3.112588578212391e-05,7.13822835842454e-05,0.04440894781526682,-1.5829101033685657e-06,single,True
4472,0.5528000000000493,0.13603468726730164,0.20872343730155982,3.0954036098766705e-05,7.098922552862494e-05,0.044422564899271696,-1.5770510751034466e-06,single,True
4473,0.5527000000000493,0.13606415648978765,0.20875190420240297,3.0342795640840303e-05,6.958874071580644e-05,0.04443636603220173,-1.5486932744826648e-06,single,True
4474,0.5526000000000493,0.1360935825133719,0.20878029658766006,2.981974385628801e-05,6.839029686632799e-05,0.044450135635701084,-1.5247396338711946e-06,single,True
4475,0.5525000000000493,0.13612297664676265,0.20880864094751625,2.9370040456559887e-05,6.73600372175204e-05,0.04446387981910691,-1.504456334110166e-06,single,True
4476,0.5524000000000493,0.13615233891133566,0.20883691028224147,2.8978993575300183e-05,6.64642731319123e-05,0.04447760435529795,-1.4871048432431667e-06,single,True
4477,0.5523000000000493,0.13618167879385287,0.2088651358433645,2.863859615560065e-05,6.568464721732568e-05,0.04449131264410415,-1.4722905034905128e-06,single,True
